PGS	Prev	n	meanPRS	GROUP	scaled
1	0.00657414170927684	1369	-0.450266613002191	HIGH >=-1	-0.0673786981749565
2	0.00730994152046784	1368	0.190377899571637	HIGH >=-1	-0.0666428983637656
3	0.0138888888888889	1368	0.476819361842105	HIGH >=-1	-0.0600639509953445
4	0.0138888888888889	1368	0.670597793859649	HIGH >=-1	-0.0600639509953445
5	0.0131578947368421	1368	0.822460052631579	HIGH >=-1	-0.0607949451473913
6	0.0175438596491228	1368	0.951604835526316	HIGH >=-1	-0.0564089802351106
7	0.0233918128654971	1368	1.06084918859649	HIGH >=-1	-0.0505610270187363
8	0.0189919649379109	1369	1.15375006574142	HIGH >=-1	-0.0549608749463225
9	0.0204678362573099	1368	1.2382678874269	HIGH >=-1	-0.0534850036269234
10	0.0190058479532164	1368	1.31876445906433	HIGH >=-1	-0.054946991931017
11	0.0204678362573099	1368	1.39340972222222	HIGH >=-1	-0.0534850036269234
12	0.0285087719298246	1368	1.46560916666667	HIGH >=-1	-0.0454440679544088
13	0.0190058479532164	1368	1.53068701023392	HIGH >=-1	-0.054946991931017
14	0.0219298245614035	1368	1.5905477119883	HIGH >=-1	-0.0520230153228299
15	0.0248356464572681	1369	1.64777485756026	HIGH >=-1	-0.0491171934269653
16	0.0211988304093567	1368	1.70305762426901	HIGH >=-1	-0.0527540094748767
17	0.0211988304093567	1368	1.75674965643275	HIGH >=-1	-0.0527540094748767
18	0.027027027027027	1369	1.8092361431702	HIGH >=-1	-0.0469258128572064
19	0.0234089246525238	1367	1.85894640087783	HIGH >=-1	-0.0505439152317096
20	0.029218407596786	1369	1.9055661431702	HIGH >=-1	-0.0447344322874474
21	0.0263350402340892	1367	1.95224666422824	HIGH >=-1	-0.0476177996501441
22	0.0299488677867056	1369	1.99650602629657	HIGH >=-1	-0.0440039720975278
23	0.0307017543859649	1368	2.03979486842105	HIGH >=-1	-0.0432510854982685
24	0.043859649122807	1368	2.0819593128655	HIGH >=-1	-0.0300931907614264
25	0.0277777777777778	1368	2.12421375730994	HIGH >=-1	-0.0461750621064556
26	0.0358187134502924	1368	2.1650888377193	HIGH >=-1	-0.038134126433941
27	0.0358187134502924	1368	2.20342623538012	HIGH >=-1	-0.038134126433941
28	0.0350877192982456	1368	2.24359842105263	HIGH >=-1	-0.0388651205859878
29	0.0372534696859021	1369	2.28144527392257	HIGH >=-1	-0.0366993701983313
30	0.0394736842105263	1368	2.3186985745614	HIGH >=-1	-0.0344791556737071
31	0.0431286549707602	1368	2.3565275	HIGH >=-1	-0.0308241849134732
32	0.0380116959064327	1368	2.39383038011696	HIGH >=-1	-0.0359411439778006
33	0.0350620891161432	1369	2.4294311687363	HIGH >=-1	-0.0388907507680902
34	0.0548646671543526	1367	2.46532727139722	HIGH >=-1	-0.0190881727298808
35	0.0409356725146199	1368	2.49989280701754	HIGH >=-1	-0.0330171673696135
36	0.0482103725346969	1369	2.53513519357195	HIGH >=-1	-0.0257424673495365
37	0.0343316289262235	1369	2.56975685902118	HIGH >=-1	-0.0396212109580099
38	0.0409656181419166	1367	2.60428068763716	HIGH >=-1	-0.0329872217423168
39	0.0554744525547445	1370	2.63900805839416	HIGH >=-1	-0.0184783873294889
40	0.0446559297218155	1366	2.67284399707174	HIGH >=-1	-0.0292969101624179
41	0.0497076023391813	1368	2.70744453947368	HIGH >=-1	-0.0242452375450521
42	0.0482103725346969	1369	2.74151739956172	HIGH >=-1	-0.0257424673495365
43	0.0511695906432749	1368	2.77455810672515	HIGH >=-1	-0.0227832492409585
44	0.0489766081871345	1368	2.80936564327485	HIGH >=-1	-0.0249762316970989
45	0.0504385964912281	1368	2.84219451023392	HIGH >=-1	-0.0235142433930053
46	0.0460526315789474	1368	2.87453092836257	HIGH >=-1	-0.027900208305286
47	0.0504385964912281	1368	2.90706135233918	HIGH >=-1	-0.0235142433930053
48	0.0504385964912281	1368	2.94029442251462	HIGH >=-1	-0.0235142433930053
49	0.0474799123447772	1369	2.97350647918188	HIGH >=-1	-0.0264729275394562
50	0.0489766081871345	1368	3.00617998538012	HIGH >=-1	-0.0249762316970989
51	0.0482456140350877	1368	3.03880343567251	HIGH >=-1	-0.0257072258491457
52	0.0665204678362573	1368	3.07230724415205	HIGH >=-1	-0.00743237204797607
53	0.0533625730994152	1368	3.10608614766082	HIGH >=-1	-0.0205902667848182
54	0.0526315789473684	1368	3.14009024122807	HIGH >=-1	-0.021321260936865
55	0.0635964912280702	1368	3.17327673245614	HIGH >=-1	-0.0103563486561632
56	0.0694444444444444	1368	3.20636581140351	HIGH >=-1	-0.00450839543978894
57	0.0584795321637427	1368	3.23944875	HIGH >=-1	-0.0154733077204907
58	0.058436815193572	1369	3.27216248356465	HIGH >=-1	-0.0155160246906614
59	0.0679824561403509	1368	3.30565408625731	HIGH >=-1	-0.00597038374388251
60	0.0672514619883041	1368	3.3397061622807	HIGH >=-1	-0.0067013778959293
61	0.0737764791818846	1369	3.37416757487217	HIGH >=-1	-0.000176360702348805
62	0.0702267739575713	1367	3.40891392099488	HIGH >=-1	-0.00372606592666207
63	0.0592105263157895	1368	3.4441716374269	HIGH >=-1	-0.0147423135684439
64	0.0555555555555556	1368	3.47870804093567	HIGH >=-1	-0.0183972843286778
65	0.0715850986121256	1369	3.51350947406866	HIGH >=-1	-0.00236774127210775
66	0.0774287801314828	1369	3.54877378378378	HIGH >=-1	0.00347594024724945
67	0.0863204096561814	1367	3.5856046378932	HIGH >=-1	0.012367569771948
68	0.087719298245614	1368	3.62166565789474	HIGH >=-1	0.0137664583613806
69	0.0840643274853801	1368	3.65917391812865	HIGH >=-1	0.0101114876011467
70	0.0891812865497076	1368	3.69631262426901	HIGH >=-1	0.0152284466654742
71	0.0752923976608187	1368	3.73508961988304	HIGH >=-1	0.00133955777658533
72	0.0818115412710007	1369	3.7753230752374	HIGH >=-1	0.00785870138676735
73	0.0869883040935673	1368	3.81445271929825	HIGH >=-1	0.0130354642093339
74	0.0921052631578947	1368	3.85424341374269	HIGH >=-1	0.0181524232736613
75	0.100877192982456	1368	3.89668891812866	HIGH >=-1	0.0269243530982227
76	0.0964207450693937	1369	3.93752303871439	HIGH >=-1	0.0224679051851603
77	0.0877834674469642	1367	3.98002823701536	HIGH >=-1	0.0138306275627308
78	0.10233918128655	1368	4.0241425	HIGH >=-1	0.0283863414023163
79	0.100073046018992	1369	4.0675011468225	HIGH >=-1	0.0261202061347586
80	0.100146198830409	1368	4.11440475877193	HIGH >=-1	0.026193358946176
81	0.114682249817385	1369	4.16349984660336	HIGH >=-1	0.0407294099331516
82	0.123628383321141	1367	4.21130428675933	HIGH >=-1	0.0496755434369078
83	0.118421052631579	1368	4.26213192251462	HIGH >=-1	0.0444682127473456
84	0.12280701754386	1368	4.31399761695906	HIGH >=-1	0.0488541776596263
85	0.121345029239766	1368	4.3688678874269	HIGH >=-1	0.0473921893555327
86	0.126369612856099	1369	4.42791121256391	HIGH >=-1	0.052416772971866
87	0.133771929824561	1368	4.48916339181287	HIGH >=-1	0.059819089940328
88	0.159356725146199	1368	4.55437841374269	HIGH >=-1	0.0854038852619654
89	0.130021913805698	1369	4.62205362308254	HIGH >=-1	0.0560690739214642
90	0.142648134601317	1367	4.69610613752743	HIGH >=-1	0.0686952947170834
91	0.151315789473684	1368	4.77473565789474	HIGH >=-1	0.0773629495894508
92	0.153508771929825	1368	4.85797891812866	HIGH >=-1	0.0795559320455912
93	0.189189189189189	1369	4.94656070124178	HIGH >=-1	0.115236349304956
94	0.175438596491228	1368	5.04896342836257	HIGH >=-1	0.101485756606995
95	0.198099415204678	1368	5.16197890350877	HIGH >=-1	0.124146575320445
96	0.191520467836257	1368	5.29077784356725	HIGH >=-1	0.117567627952024
97	0.197368421052632	1368	5.44922960526316	HIGH >=-1	0.123415581168398
98	0.233187134502924	1368	5.64727347222222	HIGH >=-1	0.159234294618691
99	0.288011695906433	1368	5.92958585526316	HIGH >=-1	0.214058856022199
100	0.379108838568298	1369	6.58391008765522	HIGH >=-1	0.305155998684065
1	0.00332348596750369	2708	-0.44466157437223	LOW <-1	-0.043672193386987
2	0.00886590321388992	2707	0.172153172253786	LOW <-1	-0.0381297761406008
3	0.00701884004432952	2707	0.449270626154414	LOW <-1	-0.0399768393101612
4	0.00886262924667651	2708	0.644921305391433	LOW <-1	-0.0381330501078142
5	0.00775766531215368	2707	0.796366988548208	LOW <-1	-0.039238014042337
6	0.0125600295530107	2707	0.925253708533432	LOW <-1	-0.03443564980148
7	0.0125600295530107	2707	1.03178095123753	LOW <-1	-0.03443564980148
8	0.008859357696567	2709	1.12388028054633	LOW <-1	-0.0381363216579237
9	0.0155210643015521	2706	1.207774781966	LOW <-1	-0.0314746150529386
10	0.0121861152141802	2708	1.2867836225997	LOW <-1	-0.0348095641403105
11	0.0125646711012565	2706	1.3583766962306	LOW <-1	-0.0344310082532342
12	0.0144017725258493	2708	1.42652393648449	LOW <-1	-0.0325939068286413
13	0.0181012190616919	2707	1.4906906316956	LOW <-1	-0.0288944602927988
14	0.0129294421869228	2707	1.55221584410787	LOW <-1	-0.0340662371675679
15	0.0129294421869228	2707	1.61018864056151	LOW <-1	-0.0340662371675679
16	0.0151403249630724	2708	1.6660405465288	LOW <-1	-0.0318553543914183
17	0.0132988548208349	2707	1.71925687846324	LOW <-1	-0.0336968245336558
18	0.0144070927225711	2707	1.77061172885113	LOW <-1	-0.0325885866319196
19	0.0169929811599557	2707	1.81948581455486	LOW <-1	-0.030002698194535
20	0.0225258493353028	2708	1.86695418389956	LOW <-1	-0.0244698300191879
21	0.0166235685260436	2707	1.91271988178796	LOW <-1	-0.0303721108284471
22	0.0158847432582194	2707	1.95788072774289	LOW <-1	-0.0311109360962712
23	0.0195716395864106	2708	2.00007404357459	LOW <-1	-0.02742403976808
24	0.0177318064277798	2707	2.04412845585519	LOW <-1	-0.0292638729267108
25	0.0217872968980798	2708	2.08621825701625	LOW <-1	-0.0252083824564109
26	0.0203252032520325	2706	2.1268863045085	LOW <-1	-0.0266704761024582
27	0.017718715393134	2709	2.16727123661868	LOW <-1	-0.0292769639613567
28	0.0199556541019956	2706	2.20674329268293	LOW <-1	-0.0270400252524951
29	0.0206794682422452	2708	2.24502730797637	LOW <-1	-0.0263162111122455
30	0.0232815964523282	2706	2.28310949741316	LOW <-1	-0.0237140829021625
31	0.0254894717399335	2707	2.32074041743628	LOW <-1	-0.0215062076145572
